2015 GEOID,State,2015 Geography Name,Note,2010 Census Total Population,2010 Census Urban Population,2010 Census Rural Population,"2010 Census 
Percent Rural",STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
01001,AL,"Autauga County, Alabama",,54571.0,31650.0,22921.0,42.0021623206465,01,001,00161526,0500000US01001,01001,Autauga,06,1539602123,25706961,"POLYGON ((-86.91759499999999 32.664169, -86.71338999999999 32.661732, -86.714219 32.705694, -86.413116 32.707386, -86.411172 32.409937, -86.459552 32.405440999999996, -86.496774 32.344437, -86.717897 32.402814, -86.781354 32.392494, -86.816107 32.30997, -86.81491199999999 32.340803, -86.906403 32.536712, -86.91759499999999 32.664169))"
01003,AL,"Baldwin County, Alabama",,182265.0,105205.0,77060.0,42.27909911392752,01,003,00161527,0500000US01003,01003,Baldwin,06,4117546676,1133055836,"POLYGON ((-88.026319 30.753358, -87.944546 30.827046, -87.986931 30.875183999999997, -87.92429 30.935405, -87.965187 30.967783999999998, -87.941152 31.048161, -87.97622199999999 31.089534999999998, -87.94012099999999 31.147236999999997, -87.972869 31.162694, -87.94658799999999 31.192929999999997, -87.83592 31.231053, -87.804023 31.319017, -87.765152 31.297345999999997, -87.71764999999999 31.303123999999997, -87.61589 31.244457999999998, -87.61552999999999 31.007724, -87.5988289462621 30.9974221769053, -87.59893699999999 30.997422, -87.592064 30.951459999999997, -87.63494299999999 30.865857, -87.54226799999999 30.767481, -87.52362099999999 30.738284999999998, -87.442291 30.692660999999998, -87.400189 30.657200999999997, -87.401189 30.604383, -87.43145 30.550251999999997, -87.444722 30.507483999999998, -87.41468499999999 30.457289, -87.366601 30.436643, -87.431784 30.403192999999998, -87.452282 30.344096999999998, -87.51832399999999 30.280434999999997, -87.656888 30.249709, -87.818867 30.228313999999997, -87.89320099999999 30.239237, -87.806466 30.279798, -87.796717 30.324198, -87.865017 30.38345, -87.914136 30.446144, -87.93335499999999 30.487357, -87.90171099999999 30.550879, -87.91495599999999 30.585893, -87.93106999999999 30.652694, -88.00839599999999 30.684956, -88.026319 30.753358))"
01005,AL,"Barbour County, Alabama",,27457.0,8844.0,18613.0,67.7896347015333,01,005,00161528,0500000US01005,01005,Barbour,06,2292144655,50538698,"POLYGON ((-85.735732 31.624492999999998, -85.66565399999999 31.786237, -85.657668 31.880274999999997, -85.587344 31.997355, -85.42847599999999 32.014950999999996, -85.410241 32.146651, -85.257834 32.147931, -85.18506699999999 32.061707999999996, -85.0514111279128 32.062256083622, -85.06359054298468 31.991857, -85.067829 31.967357999999997, -85.114031 31.893359999999998, -85.141831 31.839260999999997, -85.1291593155832 31.7802782680766, -85.1254405773425 31.7629687034183, -85.216076 31.702409, -85.416038 31.706664, -85.416437 31.619466, -85.467038 31.620566, -85.748251 31.618047999999998, -85.735732 31.624492999999998))"
01007,AL,"Bibb County, Alabama",,22915.0,7252.0,15663.0,68.35260746236091,01,007,00161529,0500000US01007,01007,Bibb,06,1612167481,9602089,"POLYGON ((-87.421936 33.003378999999995, -87.318539 33.006178999999996, -87.281945 33.13306, -87.199317 33.130657, -87.199153 33.196554, -87.065738 33.246907, -87.02684599999999 33.246459, -87.025596 33.165794999999996, -86.881182 33.049901, -86.87611799999999 32.836264, -87.01915699999999 32.837033999999996, -87.31918399999999 32.831522, -87.319473 32.875124, -87.4212 32.874508, -87.421936 33.003378999999995))"
01009,AL,"Blount County, Alabama",,57322.0,5760.0,51562.0,89.95150204110115,01,009,00161530,0500000US01009,01009,Blount,06,1670103911,15015423,"POLYGON ((-86.963358 33.858221, -86.924387 33.909222, -86.793914 33.952059, -86.68536499999999 34.05914, -86.692061 34.092653999999996, -86.601147 34.11904, -86.56385 34.170493, -86.51892699999999 34.252320999999995, -86.45302 34.259316999999996, -86.40901699999999 34.205002, -86.303516 34.099073, -86.332394 34.040499, -86.37015199999999 33.939769999999996, -86.325622 33.940146999999996, -86.345822 33.882894, -86.405981 33.835896, -86.577528 33.801977, -86.577799 33.765316, -86.64529 33.773012, -86.75921199999999 33.840592, -86.88394699999999 33.843237, -86.95366399999999 33.815297, -86.963358 33.858221))"
01011,AL,"Bullock County, Alabama",,10914.0,5307.0,5607.0,51.37438152831226,01,011,00161531,0500000US01011,01011,Bullock,06,1613059160,6054988,"POLYGON ((-85.999157 32.250543, -85.98655699999999 32.272342, -85.919293 32.274381999999996, -85.89868899999999 32.274986999999996, -85.898539 32.305289, -85.856218 32.231975, -85.433543 32.234648, -85.427441 32.146550999999995, -85.410241 32.146651, -85.42847599999999 32.014950999999996, -85.587344 31.997355, -85.657668 31.880274999999997, -85.79104699999999 31.880357, -85.790048 31.967253999999997, -85.88435 31.967253, -85.893652 32.047351, -85.946298 32.06189, -85.996853 32.051049, -85.99785899999999 32.141605, -85.999157 32.250543))"
01013,AL,"Butler County, Alabama",,20947.0,6026.0,14921.0,71.23215734950112,01,013,00161532,0500000US01013,01013,Butler,06,2012002530,2701198,"POLYGON ((-86.90893899999999 31.961672999999998, -86.85758299999999 31.962166999999997, -86.44819799999999 31.964629, -86.448635 31.655617, -86.499533 31.655247, -86.499213 31.525330999999998, -86.701554 31.523946, -86.83938599999999 31.525204, -86.906769 31.632671, -86.90589899999999 31.753034999999997, -86.906899 31.830627999999997, -86.90893899999999 31.961672999999998))"
01015,AL,"Calhoun County, Alabama",,118572.0,78617.0,39955.0,33.69682555746719,01,015,00161533,0500000US01015,01015,Calhoun,06,1569189622,16627597,"POLYGON ((-86.145562 33.679097999999996, -86.043993 33.763594999999995, -86.065272 33.842197999999996, -86.021271 33.851498, -85.99516899999999 33.864897, -85.96916999999999 33.914598, -85.84617399999999 33.95726, -85.740968 33.935300999999995, -85.738975 33.96846, -85.542214 33.956731999999995, -85.53009399999999 33.941423, -85.638049 33.773339, -85.65581 33.627165999999995, -85.796054 33.556219999999996, -85.79455899999999 33.585564999999995, -85.994935 33.586475, -86.050669 33.67459, -86.145562 33.679097999999996))"
01017,AL,"Chambers County, Alabama",,34215.0,17399.0,16816.0,49.14803448779775,01,017,00161534,0500000US01017,01017,Chambers,06,1545085607,16971701,"POLYGON ((-85.593177 33.10734, -85.232441 33.108075, -85.18611740178919 32.8701382699716, -85.18440000000001 32.861317, -85.160963 32.826671999999995, -85.1245332227506 32.7516296067514, -85.285043 32.730731, -85.57495399999999 32.736346999999995, -85.59315099999999 32.72853, -85.593177 33.10734))"
01019,AL,"Cherokee County, Alabama",,25989.0,3707.0,22282.0,85.73627303859325,01,019,00161535,0500000US01019,01019,Cherokee,06,1433623321,120308339,"POLYGON ((-85.843801 34.244595, -85.774165 34.259094, -85.627512 34.39592, -85.559282 34.502255, -85.51304422927329 34.5239464713237, -85.502471 34.474526, -85.4751472811043 34.343684657876196, -85.46314082477579 34.286190988505496, -85.42949899999999 34.125095, -85.4210731752288 34.0808126526072, -85.398871 33.964127999999995, -85.495289 33.95691, -85.53009399999999 33.941423, -85.542214 33.956731999999995, -85.738975 33.96846, -85.797071 34.100179, -85.841365 34.110695, -85.843617 34.200006, -85.843801 34.244595))"
