disaster_number,state,declaration_type,declaration_date,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,fips,designated_area
2862,TX,FM,2011-02-28T03:12:00Z,Fire,Willow Creek South Fire Complex,0,0,1,0,2011-02-27T05:00:00Z,NA,48375,Potter (County)
2863,TX,FM,2011-02-28T03:25:00Z,Fire,Matador Fire,0,0,1,0,2011-02-27T05:00:00Z,NA,48345,Motley (County)
2864,TX,FM,2011-02-28T03:37:00Z,Fire,Tanglewood Fire Complex,0,0,1,0,2011-02-27T05:00:00Z,NA,48381,Randall (County)
2865,TX,FM,2011-02-28T05:55:00Z,Fire,Mitchell Fire Complex,0,0,1,0,2011-02-27T05:00:00Z,NA,48335,Mitchell (County)
2867,TX,FM,2011-03-12T00:32:00Z,Fire,Enmin Fire,0,0,1,0,2011-03-11T05:00:00Z,2011-03-17T04:00:00Z,48237,Jack (County)
2870,TX,FM,2011-03-12T06:19:00Z,Fire,Big Trickle Ranch Fire,0,0,1,0,2011-03-11T05:00:00Z,2011-03-17T04:00:00Z,48035,Bosque (County)
2870,TX,FM,2011-03-12T06:19:00Z,Fire,Big Trickle Ranch Fire,0,0,1,0,2011-03-11T05:00:00Z,2011-03-17T04:00:00Z,48425,Somervell (County)
2881,TX,FM,2011-04-04T02:39:00Z,Fire,Bates Field Fire,0,0,1,0,2011-04-03T04:00:00Z,2011-04-06T04:00:00Z,48329,Midland (County)
2881,TX,FM,2011-04-04T02:39:00Z,Fire,Bates Field Fire,0,0,1,0,2011-04-03T04:00:00Z,2011-04-06T04:00:00Z,48135,Ector (County)
2882,TX,FM,2011-04-05T06:18:00Z,Fire,El Cenizo Fire,0,0,1,0,2011-04-04T04:00:00Z,2011-04-08T04:00:00Z,48479,Webb (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,0,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55131,Washington (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55101,Racine (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55043,Grant (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55025,Dane (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55079,Milwaukee (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55065,Lafayette (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55059,Kenosha (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55027,Dodge (County)
1966,WI,DR,2011-04-05T21:00:00Z,Snow,Severe Winter Storm And Snowstorm,0,0,1,1,2011-02-01T02:37:00Z,2011-02-03T05:00:00Z,55045,Green (County)
