FIPS_CODE,LOCATION_NAME,Row Labels,Count of LOCATION_NAME
1,ALABAMA,Abbeville County,1
2,ALASKA,Acadia Parish,1
4,ARIZONA,Accomack County,1
5,ARKANSAS,Ada County,1
6,CALIFORNIA,Adair County,4
8,COLORADO,Adams County,12
9,CONNECTICUT,Addison County,1
10,DELAWARE,Aiken County,1
11,DISTRICT OF COLUMBIA,Aitkin County,1
12,FLORIDA,ALABAMA,2
13,GEORGIA,Alachua County,1
15,HAWAII,Alamance County,1
16,IDAHO,Alameda County,1
17,ILLINOIS,Alamosa County,1
18,INDIANA,ALASKA,2
19,IOWA,Albany County,2
20,KANSAS,Albemarle County,1
21,KENTUCKY,Alcona County,1
22,LOUISIANA,Alcorn County,1
23,MAINE,Aleutians East Borough,1
24,MARYLAND,Aleutians West Census Area,1
25,MASSACHUSETTS,Alexander County,2
26,MICHIGAN,Alexandria city,1
27,MINNESOTA,Alfalfa County,1
28,MISSISSIPPI,Alger County,1
29,MISSOURI,Allamakee County,1
30,MONTANA,Allegan County,1
31,NEBRASKA,Allegany County,2
32,NEVADA,Alleghany County,2
33,NEW HAMPSHIRE,Allegheny County,1
34,NEW JERSEY,Allen County,4
35,NEW MEXICO,Allen Parish,1
36,NEW YORK,Allendale County,1
37,NORTH CAROLINA,Alpena County,1
38,NORTH DAKOTA,Alpine County,1
39,OHIO,Amador County,1
40,OKLAHOMA,Amelia County,1
41,OREGON,Amherst County,1
42,PENNSYLVANIA,Amite County,1
44,RHODE ISLAND,Anchorage Borough,1
45,SOUTH CAROLINA,Anderson County,5
46,SOUTH DAKOTA,Andrew County,1
47,TENNESSEE,Andrews County,1
48,TEXAS,Androscoggin County,1
49,UTAH,Angelina County,1
50,VERMONT,Anne Arundel County,1
51,VIRGINIA,Anoka County,1
53,WASHINGTON,Anson County,1
54,WEST VIRGINIA,Antelope County,1
55,WISCONSIN,Antrim County,1
56,WYOMING,Apache County,1
1000,Alabama,Appanoose County,1
1001,Autauga County,Appling County,1
1003,Baldwin County,Appomattox County,1
1005,Barbour County,Aransas County,1
1007,Bibb County,Arapahoe County,1
1009,Blount County,Archer County,1
1011,Bullock County,Archuleta County,1
1013,Butler County,Arenac County,1
1015,Calhoun County,ARIZONA,2
1017,Chambers County,ARKANSAS,2
1019,Cherokee County,Arkansas County,1
1021,Chilton County,Arlington County,1
1023,Choctaw County,Armstrong County,2
1025,Clarke County,Aroostook County,1
1027,Clay County,Arthur County,1
1029,Cleburne County,Ascension Parish,1
1031,Coffee County,Ashe County,1
1033,Colbert County,Ashland County,2
1035,Conecuh County,Ashley County,1
1037,Coosa County,Ashtabula County,1
1039,Covington County,Asotin County,1
1041,Crenshaw County,Assumption Parish,1
1043,Cullman County,Atascosa County,1
1045,Dale County,Atchison County,2
1047,Dallas County,Athens County,1
1049,DeKalb County,Atkinson County,1
1051,Elmore County,Atlantic County,1
1053,Escambia County,Atoka County,1
1055,Etowah County,Attala County,1
1057,Fayette County,Audrain County,1
1059,Franklin County,Audubon County,1
1061,Geneva County,Auglaize County,1
1063,Greene County,Augusta County,1
1065,Hale County,Aurora County,1
1067,Henry County,Austin County,1
1069,Houston County,Autauga County,1
1071,Jackson County,Avery County,1
1073,Jefferson County,Avoyelles Parish,1
1075,Lamar County,Baca County,1
1077,Lauderdale County,Bacon County,1
1079,Lawrence County,Bailey County,1
1081,Lee County,Baker County,3
1083,Limestone County,Baldwin County,2
1085,Lowndes County,Ballard County,1
1087,Macon County,Baltimore city,1
1089,Madison County,Baltimore County,1
1091,Marengo County,Bamberg County,1
1093,Marion County,Bandera County,1
1095,Marshall County,Banks County,1
1097,Mobile County,Banner County,1
1099,Monroe County,Bannock County,1
1101,Montgomery County,Baraga County,1
1103,Morgan County,Barber County,1
1105,Perry County,Barbour County,2
1107,Pickens County,Barnes County,1
1109,Pike County,Barnstable County,1
1111,Randolph County,Barnwell County,1
1113,Russell County,Barren County,1
1115,St. Clair County,Barron County,1
1117,Shelby County,Barrow County,1
1119,Sumter County,Barry County,2
1121,Talladega County,Bartholomew County,1
1123,Tallapoosa County,Barton County,2
1125,Tuscaloosa County,Bartow County,1
1127,Walker County,Bastrop County,1
1129,Washington County,Bates County,1
1131,Wilcox County,Bath County,2
1133,Winston County,Baxter County,1
2000,Alaska,Bay County,2
2013,Aleutians East Borough,Bayfield County,1
2016,Aleutians West Census Area,Baylor County,1
2020,Anchorage Borough,Beadle County,1
2050,Bethel Census Area,Bear Lake County,1
2060,Bristol Bay Borough,Beaufort County,2
2068,Denali Borough                         (created after 1990),Beauregard Parish,1
2070,Dillingham Census Area,Beaver County,3
2090,Fairbanks North Star Borough,Beaverhead County,1
2100,Haines Borough,Becker County,1
2110,Juneau Borough,Beckham County,1
2122,Kenai Peninsula Borough,Bedford city,1
2130,Ketchikan Gateway Borough,Bedford County,3
2150,Kodiak Island Borough,Bee County,1
2164,Lake and Peninsula Borough,Belknap County,1
2170,Matanuska-Susitna Borough,Bell County,2
2180,Nome Census Area,Belmont County,1
2185,North Slope Borough,Beltrami County,1
2188,Northwest Arctic Borough,Ben Hill County,1
2201,Prince of Wales-Outer Ketchikan Census Area,Benewah County,1
2220,Sitka Borough,Bennett County,1
2231,Skagway-Yakutat-Angoon Census Area         (1990 Census Area),Bennington County,1
2232,Skagway-Hoonah-Angoon Census Area          (created after 1990),Benson County,1
2240,Southeast Fairbanks Census Area,Bent County,1
2261,Valdez-Cordova Census Area,Benton County,9
2270,Wade Hampton Census Area,Benzie County,1
2280,Wrangell-Petersburg Census Area,Bergen County,1
2282,Yakutat Borough                       (created after 1990),Berkeley County,2
2290,Yukon-Koyukuk Census Area,Berks County,1
4000,Arizona,Berkshire County,1
4001,Apache County,Bernalillo County,1
4003,Cochise County,Berrien County,2
4005,Coconino County,Bertie County,1
4007,Gila County,Bethel Census Area,1
4009,Graham County,Bexar County,1
4011,Greenlee County,Bibb County,2
4012,La Paz County,Bienville Parish,1
4013,Maricopa County,Big Horn County,2
4015,Mohave County,Big Stone County,1
4017,Navajo County,Billings County,1
4019,Pima County,Bingham County,1
4021,Pinal County,Black Hawk County,1
4023,Santa Cruz County,Blackford County,1
4025,Yavapai County,Bladen County,1
4027,Yuma County,Blaine County,4
5000,Arkansas,Blair County,1
5001,Arkansas County,Blanco County,1
5003,Ashley County,Bland County,1
5005,Baxter County,Bleckley County,1
5007,Benton County,Bledsoe County,1
5009,Boone County,Blount County,2
5011,Bradley County,Blue Earth County,1
5013,Calhoun County,Boise County,1
5015,Carroll County,Bolivar County,1
5017,Chicot County,Bollinger County,1
5019,Clark County,Bon Homme County,1
5021,Clay County,Bond County,1
5023,Cleburne County,Bonner County,1
5025,Cleveland County,Bonneville County,1
5027,Columbia County,Boone County,8
5029,Conway County,Borden County,1
5031,Craighead County,Bosque County,1
5033,Crawford County,Bossier Parish,1
5035,Crittenden County,Botetourt County,1
5037,Cross County,Bottineau County,1
5039,Dallas County,Boulder County,1
5041,Desha County,Boundary County,1
5043,Drew County,Bourbon County,2
5045,Faulkner County,Bowie County,1
5047,Franklin County,Bowman County,1
5049,Fulton County,Box Butte County,1
5051,Garland County,Box Elder County,1
5053,Grant County,Boyd County,2
5055,Greene County,Boyle County,1
5057,Hempstead County,Bracken County,1
5059,Hot Spring County,Bradford County,2
5061,Howard County,Bradley County,2
5063,Independence County,Branch County,1
5065,Izard County,Brantley County,1
5067,Jackson County,Braxton County,1
5069,Jefferson County,Brazoria County,1
5071,Johnson County,Brazos County,1
5073,Lafayette County,Breathitt County,1
5075,Lawrence County,Breckinridge County,1
5077,Lee County,Bremer County,1
5079,Lincoln County,Brevard County,1
5081,Little River County,Brewster County,1
5083,Logan County,Briscoe County,1
5085,Lonoke County,Bristol Bay Borough,1
5087,Madison County,Bristol city,1
5089,Marion County,Bristol County,2
5091,Miller County,Broadwater County,1
5093,Mississippi County,Bronx County,1
5095,Monroe County,Brooke County,1
5097,Montgomery County,Brookings County,1
5099,Nevada County,Brooks County,2
5101,Newton County,Broome County,1
5103,Ouachita County,Broward County,1
5105,Perry County,Brown County,9
5107,Phillips County,Brule County,1
5109,Pike County,Brunswick County,2
5111,Poinsett County,Bryan County,2
5113,Polk County,Buchanan County,3
5115,Pope County,Buckingham County,1
5117,Prairie County,Bucks County,1
5119,Pulaski County,Buena Vista city,1
5121,Randolph County,Buena Vista County,1
5123,St. Francis County,Buffalo County,3
5125,Saline County,Bullitt County,1
